,,Democratic,Republican,Total Votes Cast,Total Ballots Cast
Precinct,2155135507,406,773,1179,1179
Precinct,2155135508,261,423,684,684
Precinct,2155135509,203,331,534,534
Precinct,2155135510,264,392,656,656
Precinct,2155135511,258,426,684,684
Precinct,2155135512,421,566,987,987
Precinct,2155135513,315,484,799,799
Precinct,2155135514,373,497,870,870
Precinct,2155135515,276,484,760,760
Precinct,2155135516,434,733,1167,1167
Precinct,2155135517,483,668,1151,1151
Precinct,2155135518,373,616,989,989
Precinct,2155135519,356,526,882,882
Precinct,2155135520,379,500,879,879
Precinct,2155135521,391,495,886,886
Precinct,2155135522,406,702,1108,1108
Precinct,2155135523,320,523,843,843
Precinct,2155135524,335,472,807,807
Precinct,2155135525,152,312,464,464
Precinct,2155135526,401,648,1049,1049
Precinct,2155135527,345,546,891,891
Precinct,2155135528,481,530,1011,1011
Precinct,2155135529,507,417,924,924
Precinct,2155135530,432,509,941,941
Precinct,2155135531,175,298,473,473
Precinct,2155135532,448,712,1160,1160
Precinct,2155135533,519,526,1045,1045
Precinct,2155135534,366,612,978,978
Precinct,2155135535,361,570,931,931
Precinct,2155135536,355,660,1015,1015
Precinct,2155135537,420,734,1154,1154
Precinct,2155135538,372,708,1080,1080
Precinct,2155135539,363,609,972,972
Precinct,2155135540,333,507,840,840
Precinct,2155135541,386,689,1075,1075
Precinct,2155235601,127,83,210,210
Precinct,2155235602,409,319,728,728
Precinct,2155235603,553,619,1172,1172
Precinct,2155335701,577,267,844,844
Precinct,2155335702,429,315,744,744
Precinct,2155335703,252,272,524,524
Precinct,2234935801,224,382,606,606
Precinct,2234935802,223,340,563,563
Precinct,2234935803,208,516,724,724
Precinct,2234935804,164,380,544,544
Precinct,2234935805,380,852,1232,1232
Precinct,2234935806,215,480,695,695
Precinct,2234935807,328,694,1022,1022
Precinct,2234935808,205,493,698,698
Precinct,2234935809,438,1064,1502,1502
Precinct,2235235101,313,223,536,536
Precinct,2235235102,97,105,202,202
Precinct,Provisional,23,16,39,39
County,Park,1422,2531,3953,3953
Precinct,2026047008,177,337,514,514
Precinct,2026047010,306,438,744,744
Precinct,2026047011,190,454,644,644
Precinct,2026047012,392,723,1115,1115
Precinct,2026047013,357,579,936,936
County,Summit,6812,4274,11086,11086
Precinct,2086159001,411,230,641,641
Precinct,2086159002,456,255,711,711
Precinct,2086159003,239,166,405,405
Precinct,2086159004,563,212,775,775
Precinct,2086159005,503,395,898,898
Precinct,2086159006,212,179,391,391
Precinct,2086159007,240,168,408,408
Precinct,2086159008,162,168,330,330
Precinct,2086159009,374,238,612,612
Precinct,2086159010,334,238,572,572
Precinct,2086159011,225,168,393,393
