,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
Precinct,7213201122,399,204,7,4,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,622,622
Precinct,7213201123,792,334,10,2,6,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1151,1151
Precinct,7213201124,818,309,5,4,1,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1146,1146
Precinct,7213201125,483,230,7,5,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,731,731
Precinct,7213201126,855,387,18,6,5,2,3,0,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1285,1285
Precinct,7213201127,505,279,13,7,3,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,815,815
Precinct,7213201128,852,432,17,0,5,4,2,2,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1321,1321
Precinct,7213201129,700,400,10,1,5,3,1,1,2,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1129,1129
Precinct,7213201208,304,194,15,5,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,525,525
Precinct,7213201209,504,339,17,4,4,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,874,874
Precinct,7213201216,825,612,17,2,12,2,2,2,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1479,1479
Precinct,7213201217,494,348,10,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,860
Precinct,7213201218,408,361,15,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,793,793
Precinct,7213201219,337,202,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,548
Precinct,7213201220,136,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,226
Precinct,7213201221,270,182,3,3,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,469,469
Precinct,7213201222,210,156,6,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,377,377
Precinct,7213201224,12,24,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
Precinct,7213201254,451,231,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,693
Precinct,7213201255,347,169,6,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,532,532
Precinct,7213201257,844,210,17,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1079,1079
Precinct,7213401027,450,191,11,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,659,659
Precinct,7213401030,510,319,9,4,6,8,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,0,863,863
Precinct,7213401035,528,307,11,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,855,855
Precinct,7213401036,411,368,6,1,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,795,795
Precinct,7213401042,610,289,20,5,2,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,934,934
Precinct,7213501010,808,376,19,2,7,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,1221
Precinct,7213501011,983,424,28,5,4,3,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1455,1455
Precinct,7213501012,653,375,11,3,3,5,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1058,1058
Precinct,7213501013,940,465,20,4,2,4,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1444,1444
Precinct,7213501014,653,366,19,2,5,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1051,1051
Precinct,7213501015,771,397,17,3,7,4,0,0,2,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,1207,1207
Precinct,7213501016,666,358,16,15,4,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1066,1066
Precinct,7213501017,568,325,19,3,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,924
Precinct,7213501018,583,316,15,4,2,3,1,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,930,930
Precinct,7213501019,453,228,7,9,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,703,703
Precinct,7213501020,735,272,25,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,1042
Precinct,7213501024,782,358,15,7,0,3,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1171,1171
Precinct,7213501025,759,356,15,2,7,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1145,1145
Precinct,7213501026,1058,474,22,8,4,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1574,1574
Precinct,7243101078,276,242,10,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,537
Precinct,7243101079,410,372,17,1,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,807,807
Precinct,7243101085,620,477,24,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1128
Precinct,7243101086,508,472,15,9,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1012,1012
Precinct,7243101088,706,516,21,1,4,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1256,1256
Precinct,7243101089,666,454,26,5,2,1,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1161,1161
Precinct,7243101093,728,581,27,5,9,6,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1362,1362
Precinct,7243101094,578,562,15,3,1,7,3,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1176,1176
Precinct,7243101097,555,476,12,3,3,5,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1059,1059
Precinct,7243101105,100,52,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,158
Precinct,7243101134,702,545,25,9,4,7,2,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1303,1303
Precinct,7243101135,688,604,22,3,7,1,2,0,3,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1335,1335
Precinct,7243101136,512,471,21,2,2,3,0,2,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1018,1018
Precinct,7243101137,773,625,20,2,3,6,2,4,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1442,1442
Precinct,7243101145,789,602,21,5,6,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1430,1430
Precinct,7243101146,593,386,27,2,8,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1024,1024
Precinct,7243101147,842,677,21,4,9,2,4,1,0,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,1567,1567
Precinct,7243101149,541,490,25,3,1,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1069,1069
Precinct,7243401037,491,237,6,1,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,745,745
Precinct,7243401038,773,491,41,4,4,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1321,1321
Precinct,7243401039,563,351,13,6,4,4,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,947,947
Precinct,7243401040,515,440,17,7,2,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,994,994
Precinct,7243401041,609,342,18,2,3,2,2,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,984,984
Precinct,7243401051,768,609,27,6,3,4,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1422,1422
